lesson_id,goal_index,text,teach,why,hint_stuck
colour-label-hardcode,2,Color the typed figures blue — the margin target B5 and the kWh estimate B6.,"House rule: anything typed is blue, anything calculated stays black, so a reviewer sees the drivers at a glance.",,
colour-label-hardcode,3,The wholesale price deserves its own cell: type 0.13 into B4 and color it blue too.,,,
colour-label-hardcode,4,Label where the number comes from: per utility contract in C4.,,,
colour-label-hardcode,5,"B14 still hides the price in =B6*0.13: rewrite it as =B6*B4, so the price lives in one place.",F2 opens the cell for editing with the caret at the end — read a formula before you change it.,,
challenge-inherited-file,0,"Rename Sheet2 to Inputs, delete Old wk37, and get a Report sheet in front.",,,
challenge-inherited-file,1,Gridlines off on Report — someone reads this page.,,,
challenge-inherited-file,2,State the units on Inputs: USD unless stated in A2.,,,
challenge-inherited-file,3,Color the typed inputs B5 and B6 blue.,,,
challenge-inherited-file,4,"Put the wholesale price in B4 blue, label C4 per utility contract, and point the bill formula B14 at B4.",,,
jump-dont-scroll,0,The questions are about the feed: move to Raw.,,,
jump-dont-scroll,1,“How many days came through?” — jump to the last date with Ctrl+↓.,,,
jump-dont-scroll,2,"“Which columns does it carry?” — back to the top, then along the headers to F1.",,,
jump-dont-scroll,3,"“Is every energy cost in?” — ride Ctrl+↓ down column F; it stops at F11, right above the first missing figure.",,,
jump-dont-scroll,4,"“Anything below the feed?” — Ctrl+End to the far corner, Home, then up to the Notes header in A64.","Ctrl+End jumps to the sheet’s last used cell, and Home snaps to column A of the row you are on.",,
jump-dont-scroll,5,"Skim the feed a screen at a time: one PgUp, one PgDn.","PgDn and PgUp move a screen at a time — for reading through, not for reaching a cell.",,
jump-dont-scroll,6,Back to the top for the next job: Ctrl+Home.,,,
select-like-you-mean-it,0,"Move to Raw, where the selecting is.",,,
select-like-you-mean-it,1,"Select Revenue from its header to the last figure: E1, then one Ctrl+Shift+↓.",,,
select-like-you-mean-it,2,"Collapse to A1, then select the whole header row with Shift+Space.",Shift+Space selects the active row; Ctrl+Space selects the active column.,,
select-like-you-mean-it,3,Now the whole of column E with Ctrl+Space.,,,
select-like-you-mean-it,4,Select the whole feed in one press: Ctrl+A.,Ctrl+A selects the current region — the block of data around the active cell.,,
select-like-you-mean-it,5,Press Ctrl+A a second time: the entire sheet.,Ctrl+A pressed again widens to the entire sheet.,,
select-like-you-mean-it,6,"Collapse to A1 with Ctrl+Home, then take everything used — feed, notes and the totals block — with Ctrl+Shift+End.",,,
around-the-workbook,0,"Warm up the tab keys: Ctrl+PgDn to Costs at the end, Ctrl+PgUp back to Report.",,,
around-the-workbook,1,Management asks about the Airport Saturday: land on Raw!F61 in one jump.,"Ctrl+G (or F5) jumps to anything you can name — its job is far-off or cross-sheet targets, never the next cell over.",,
around-the-workbook,2,Select the whole Costs table by address: Costs!A3:E8.,"A sheet-qualified reference — Costs!A3:E8 — names the sheet, an exclamation mark, then the cell or range.",,
around-the-workbook,3,"Hop home to Report on the tab keys, then land straight back on Costs!B7 in one jump.",,,
around-the-workbook,4,"Finish on the report page: Report!A1, one jump.",,,
typed-vs-calculated,0,The question is about Costs: go there.,,,
typed-vs-calculated,1,"Select the table body B4:E8, edge to edge.",,,
typed-vs-calculated,2,Pick out the constants — everything someone typed — and color them blue in one stroke.,"Go To Special (Alt, H, F, D, S) selects by kind inside your selection — O is Constants, F Formulas, Enter Blanks.",,
typed-vs-calculated,3,"Select the body again and pick out the formulas — only the Domain total E4 lights up, and it stays black.",,,
typed-vs-calculated,4,One more pass: the blanks — the two sites with no maintenance figure.,,,
challenge-find-and-mark,0,Land on the feed’s last date in one jump from the top of Raw.,,,
challenge-find-and-mark,1,"Back to the top, then along the headers to the last column, F1.",,,
challenge-find-and-mark,2,Select everything used on the sheet from A1 in one stroke.,,,
challenge-find-and-mark,3,"Select the Revenue figures E2:E60, edge to edge.",,,
challenge-find-and-mark,4,"Go To Special, Constants — then color every typed number in the block blue.",,,
enter-the-missing-day,0,"Airport’s Saturday never came through: jump to the first blank cell of its row, Raw!C61.",,,
enter-the-missing-day,1,"Management emailed the day: enter 2,500 kWh in C61 and the price $0.48 in D61, moving right with Tab.","Tab commits the entry and steps one cell right, and Excel remembers where the run began — that is where Enter will return you.",,
enter-the-missing-day,2,"Finish the row with the revenue $1,200.00 in E61 and the energy cost $325.00 in F61, then Enter to land in C62.","Enter after a Tab run commits and drops to the column the run started in, one row down — where the next record begins.",,
enter-the-missing-day,3,"Start retyping the site name over B61, then look again — Airport is right, so discard the entry and keep it.","Esc throws away an entry you have started: the cell keeps what it had, and nothing is committed.",,
enter-the-missing-day,4,"Five Energy cost cells in column F are blank: select the feed from the top, pick out the blanks with Go To Special and count them.",,,
enter-the-missing-day,5,Type 0 once and commit it into all five blank cells of the Energy cost column at the same time.,"Ctrl+Enter commits one entry into every selected cell at once — five blanks, one press.",,
enter-the-missing-day,6,"A stray “draft” note sits in H3, above the site totals block: clear it.",Delete clears what the cell holds and leaves its formatting behind — the italic stays for whatever is typed there next.,,
enter-the-missing-day,7,"Does it tie? Watch Airport’s Saturday kWh in C61 change to 3,000 and the Airport line of the site totals, I12, answer.",,,
fix-it-in-place,0,Mueller is misspelled somewhere in the 60-row feed: move to Raw and find Muller.,"Ctrl+F opens Find: type part of what you want, Enter jumps to the next cell containing it, Esc closes the card.",,
fix-it-in-place,1,"Open B14 with F2, move the insertion point to just after Mu, and insert the e so it reads Mueller.","In Edit mode, Home and End send the insertion point to either end of the entry and ← → step it one character; typing inserts there.",,
fix-it-in-place,2,"Riverside lost its e in one row: find Riversid, Find Next past the first hit (a correct Riverside), and add the e.",,,
fix-it-in-place,3,"C33 shows 1,240 on the left — text with a trailing space: find it, open it, delete the space and commit it as a number.","A figure sitting on the left is text, not a number; Backspace deletes the character before the insertion point, so the trailing space goes and 1,240 snaps right.",,
fix-it-in-place,4,E41 reads 81500 for one day of South Lamar revenue when kWh × price says 1075: find it and type 1075 over it.,Typing on a cell replaces its whole contents — no F2 when nothing in the old entry is worth keeping.,,
fix-it-in-place,5,"The associate asks what was there before: Ctrl+Z, and E41 shows 81500 again.","Ctrl+Z undoes the last change and Ctrl+Y puts it back, so a fix can be tried, read and kept.",,
fix-it-in-place,6,The figure was wrong after all: Ctrl+Y puts 1075 back in E41.,,,
fix-it-in-place,7,"Does it tie? Watch C33, a Riverside kWh figure, change to 2,000 and Riverside’s kWh total in I10 answer.",,,
copy-cut-paste-fill,0,"Title the page: “Voltline - Austin Weekly KPI Report, w/c 15 Sep 2026” in A1, “USD unless stated” in A2, then Site and Week in A4:B4.",,,
copy-cut-paste-fill,1,"The feed’s totals block already carries the figure headers: copy Raw!I7:K7 and paste them onto C4:E4, then drop the marquee.","Ctrl+C copies and Ctrl+X cuts the selection; Ctrl+V pastes it at the cursor, formats included; Esc drops the marquee, the moving border around what you copied.",,
copy-cut-paste-fill,2,The site list lives on Inputs: copy Inputs!A9:A13 and drop it under Site at A5 with Enter.,"After a copy, Enter pastes once and drops the marquee in the same press — the paste for a single destination.",,
copy-cut-paste-fill,3,"Copy the reporting week from Inputs!B3 onto B5, then fill it down the five site rows B5:B9 with Ctrl+D.","Ctrl+D fills the selection from its top row and Ctrl+R from its left column — one entry, filled, never retyped.",,
copy-cut-paste-fill,4,"Label the daily block below the table: kWh sold by day in A12, then Week, Day and Date in A13:A15.",,,
copy-cut-paste-fill,5,The daily block needs the same five sites: copy A5:A9 and drop them at A16 with Enter.,,,
copy-cut-paste-fill,6,"The daily block’s Week row takes the same label: copy it from B9 to B13, then fill it right across B13:G13 with Ctrl+R.",,,
copy-cut-paste-fill,7,The Notes block sits under the feed where nobody reads it: cut Raw!A64:A67 and paste it beside the feed at H1.,,,
copy-cut-paste-fill,8,"Does it tie? Watch Domain’s Monday kWh in Raw!C8 change to 3,000 and Domain’s kWh total in I8 answer.",,,
paste-special-values,0,Two more figure columns are coming: type Gross profit ($) in F4 and Avg price ($/kWh) in G4 as one Tab run.,,,
paste-special-values,1,The associate wants last week beside this week: copy Raw’s Prior week rev and Old code block L7:M12 and paste values only onto H4.,"Paste Special, Ctrl+Alt+V, pastes one aspect of the copy — V values only, T formats only, E transposed — then Enter confirms.",,
paste-special-values,2,"Four new headers, one style: copy the kWh sold header C4 and paste its format only onto F4:I4 with Paste Formats.",,,
paste-special-values,3,"Snapshot this week: copy the five sites’ live totals Raw!I8:K12 and paste values only onto C5, so the page holds numbers, not links.",,,
paste-special-values,4,"Type Total in A10, then copy Raw’s total row I13:K13 and paste it plain onto C10: the SUM re-points to C5:C9.","A pasted formula keeps its shape, not its cells: the references shift with the move, so =SUM(I8:I12) becomes =SUM(C5:C9) — a $ would pin them.",,
paste-special-values,5,Start the sensitivity block under the daily table: Energy cost sensitivity ($/wk) in A22 and Price per kWh in A23.,,,
paste-special-values,6,"The sensitivity table needs the sites across its top: copy A5:A9 and paste them transposed onto B23, one row of five.",,,
paste-special-values,7,"Does it tie? Watch Domain’s Monday kWh in Raw’s C8 change: the live total I8 moves, and the Report’s snapshot C5 stays put.",,,
find-replace-timeline,0,Eleven cells on the Report still read w/c 08 Sep: swap every one for w/c 15 Sep with Replace All and read the count — eleven.,"Ctrl+H opens Replace: type what to find, Tab, what to put there, then Alt+A replaces every match on this sheet and reports how many cells changed.",,
find-replace-timeline,1,Replace All only touches the active sheet: move to Inputs and replace the stale week label in B3 the same way — the count reads one.,,,
find-replace-timeline,2,One Airport row on the feed is spelled Airprot: move to Raw and find it with Ctrl+F.,,,
find-replace-timeline,3,Nothing in Airprot is worth keeping: type Airport over B55.,,,
find-replace-timeline,4,"Back on the Report, the daily table needs its day header: type Mon in B14, select B14:G14 and let Fill Series carry it to Sat.","Fill Series (Alt, H, F, I, S) continues the pattern your first cells set across the selection: Mon runs to Sat, 15 and 16 run on to 20.",,
find-replace-timeline,5,"The dates go under the days: type the first two, 15 and 16, into B15 and C15 as a Tab run.",,,
find-replace-timeline,6,Select B15:G15 and Fill Series carries 15 and 16 on to 20.,,,
find-replace-timeline,7,"Does it tie? Watch Airport’s Monday kWh in Raw’s C56 change to 3,000 and the Airport line of the site totals, I12, answer.",,,
challenge-complete-the-feed,0,"Airport’s Saturday never came through: enter management’s figures in C61:F61 — 2,500 kWh, $0.48, $1,200.00 revenue and $325.00 energy cost.",,,
challenge-complete-the-feed,1,Mueller is misspelled Muller in one row of the 60-row feed: find it and fix it in place.,,,
challenge-complete-the-feed,2,Riverside reads Riverisde in three rows: Replace All of them in one step and read the count.,,,
challenge-complete-the-feed,3,"The kWh figure “1,240” in the Riverside rows was typed as text and sits on the left: make it a number.",,,
challenge-complete-the-feed,4,"Copy the site totals header H7:K7, insert a sheet named Summary in front, drop the header on its A1 and label E1 Snapshot.",,,
challenge-complete-the-feed,5,"With the feed complete, paste Raw’s site rows H8:K12 as values onto Summary!A2: a snapshot is values, never a live formula.",,,
challenge-complete-the-feed,6,"Under the snapshot, type Day in A8 and fill a Mon–Sat timeline across B8:G8.",,,
rows-cols-honest-totals,0,Cedar Park opened this week: select Airport’s row 9 and insert a blank row above it — the Total in C11 follows to =SUM(C5:C10).,"Ctrl+Shift+= inserts whole rows or columns at the selection, Ctrl+- deletes them, and a SUM whose range straddles the insert grows to take the new row in.",,
rows-cols-honest-totals,1,"Name the new site: type Cedar Park in A9, then fill the week label down from B8 into B9 with Ctrl+D.",,,
rows-cols-honest-totals,2,"Enter Cedar Park’s week across C9:E9 with Tab: 2,140 kWh, $1,005.80 revenue, $278.20 energy cost — the totals in C11:E11 grow together.",,,
rows-cols-honest-totals,3,The Old code column is the old platform’s: select column I from its header I4 and delete the whole column in one press.,,,
rows-cols-honest-totals,4,Margin % belongs before Prior week rev: insert a column at H and type Margin % in H4 — the header comes out bold.,,,
rows-cols-honest-totals,5,"On Raw, delete the Revenue column E and read the site totals block: every Revenue SUM now says #REF! instead of a number.","#REF! means the formula pointed at a cell that no longer exists: delete a column a SUM reads and it breaks, and Ctrl+Z brings both back.",,
rows-cols-honest-totals,6,"Read the error, then undo: Ctrl+Z brings the Revenue column back and Domain’s Revenue SUM in J8 reads a number again.",,,
rows-cols-honest-totals,7,"Does it tie? Watch Cedar Park’s kWh in C9 change to 3,000 and the Total in C11 answer.",,,
widths-heights-autofit,0,The daily table’s six day columns B:G should share one width: select them from its timeline row and set Column Width 12.,"Column Width (Alt, H, O, W) sets every selected column to one width in Excel character units: select the columns first, then type the number and Enter.",,
widths-heights-autofit,1,Margin % and Prior week rev ($) in H:I are the comparison columns: select both from the header row and set them to 14.,,,
widths-heights-autofit,2,"Fit the label column to its site names, not the title: select A5:A11 and AutoFit — column A sizes to South Lamar.","AutoFit Column Width (Alt, H, O, I) sizes a column to its content — a whole column fits everything in it, a selected range fits only those cells.",,
widths-heights-autofit,3,"The title row is cramped at the default height: from A1, set Row Height 24 points.","Row Height (Alt, H, O, H) sets the selected rows’ height in points; AutoFit Row Height (Alt, H, O, A) sizes a row back to its content.",,
widths-heights-autofit,4,Twenty-four was a guess: AutoFit Row Height puts row 1 back to what its one line of text needs.,,,
widths-heights-autofit,5,"At these widths the headers B4:I4 are clipped: select them from B4, wrap the text, then AutoFit row 4 to two lines.","Wrap Text (Alt, H, W) folds a long entry onto more lines inside its cell, and AutoFit Row Height then sizes the row to the wrapped lines.",,
widths-heights-autofit,6,"See why the day columns were set by hand: AutoFit B:G at once, read the uneven widths, then Ctrl+Z puts the equal 12 back.",,,
widths-heights-autofit,7,"Does it tie? Watch Cedar Park’s kWh in C9 change to 3,000 and the Total in C11 answer through the new widths.",,,
hide-group-freeze,0,Energy cost and Gross profit are working columns: select the whole of E:F from the header row and hide them with Ctrl+0.,Ctrl+0 hides the selected columns and Ctrl+9 the rows; Ctrl+Shift+) and Ctrl+Shift+( unhide whatever is hidden inside the selection.,,
hide-group-freeze,1,A buyer’s analyst will find a hidden column and wonder what else is hidden: select D:G across the gap and unhide with Ctrl+Shift+).,,,
hide-group-freeze,2,"Rows hide the same way: select the whole daily table, rows 13:21, hide them with Ctrl+9, then bring them back with Ctrl+Shift+(.",,,
hide-group-freeze,3,"Group, don’t hide: select the whole of E:F again and group the two working columns with Alt+Shift+→.",Alt+Shift+→ groups the selected whole columns or rows into an outline with a button to fold and unfold; Alt+Shift+← ungroups them.,,
hide-group-freeze,4,"Fold the group with Hide Detail, Alt A H: the two columns tuck behind an outline button instead of vanishing.",,,
hide-group-freeze,5,"Unfold it with Show Detail, Alt A J: the workings are there when a reader wants them, and the group stays.",,,
hide-group-freeze,6,"The title, units, header row and site column must stay in view: land on B5 and freeze panes there with Alt W F F.",Freeze Panes (Alt W F F) pins every row above and every column left of the active cell so they stay in view as the sheet scrolls.,,
hide-group-freeze,7,"Does it tie? Watch Cedar Park’s kWh in C9 change to 3,000 and the Total in C11 answer, with the heads frozen in place.",,,
challenge-reshape-the-report,0,"The Depot site opened: insert a row inside the block, above the last site, and enter Depot, 1,800 kWh, $828 revenue, $234 energy cost.",,,
challenge-reshape-the-report,1,"Old code in column H is the old platform’s site code: delete the whole column, not just its cells.",,,
challenge-reshape-the-report,2,The six figure columns B:G are six different widths: select them from the header row and set Column Width 12.,,,
challenge-reshape-the-report,3,A figure column is hidden — a buyer’s analyst would find it and wonder: unhide it inside the same selection.,,,
challenge-reshape-the-report,4,Gross profit and Avg price in E:F are working columns: group them rather than hiding them.,,,
challenge-reshape-the-report,5,"Freeze the panes at B4 so the title, units, header row and site column stay in view.",,,
numbers-a-banker-can-read,0,"Select the kWh sold figures C5:C11, Total included, and give them thousands separators with no decimals: Ctrl+1, then N.","A number format changes how a value shows, not the value itself: Ctrl+1 opens Format Cells, whose categories answer to their first letter, N Number, C Currency, P Percentage.",,
numbers-a-banker-can-read,1,"Give Revenue, Energy cost and Gross profit D5:F11 comma style in one press, Ctrl+Shift+1, then Alt H 9 twice: negatives read in parentheses.",,,
numbers-a-banker-can-read,2,"The $ goes on a money column’s first and total rows only: make D5:F5, D11:F11 and Prior week’s I5 currency with no decimals, Ctrl+1 then C.",,,
numbers-a-banker-can-read,3,"Prior week rev I6:I10 gets thousands separators with no decimals, Cedar Park’s empty I9 included, while I5 keeps the column’s $.",,,
numbers-a-banker-can-read,4,"Avg price ($/kWh) shows cents: select G5:G11 from the bottom, Ctrl+Shift+↑ then Shift+↓ off the header, and give it currency, Ctrl+Shift+4.",,,
numbers-a-banker-can-read,5,"Margin % H5:H11 reads as a percentage to one decimal: select it the same way, Ctrl+Shift+5 for percent, then Alt H 0 for the decimal.",,,
numbers-a-banker-can-read,6,"The daily table B17:G21 will hold thirty kWh figures: format the whole block at once, comma style with Ctrl+Shift+1, then Alt H 9 twice.",,,
numbers-a-banker-can-read,7,"On Inputs, the wholesale energy price B4 is quoted to the tenth of a cent: currency with Ctrl+Shift+4, then Alt H 0 for the third decimal.",,,
numbers-a-banker-can-read,8,"Does it tie? Watch Cedar Park’s kWh in C9 change to 3,000 and the Total in C11 answer, thousands separator and all.",,,
fonts-fills-borders,0,The title in A1 is plain text: make it bold with Ctrl+B so the page has a heading.,"Ctrl+B makes the selection bold, Ctrl+I italic and Ctrl+U underlined; on a mixed selection it follows the active cell, so start from a plain cell and every cell goes on.",,
fonts-fills-borders,1,"One font, one size, and the title is the one exception: take A1 one size up with Increase Font Size, Alt H F G.",,,
fonts-fills-borders,2,Site and Week in A4:B4 were never bold: select the whole header row 4 with Shift+Space and one Ctrl+B bolds every header at once.,,,
fonts-fills-borders,3,"Jump down the site list to the Total in A11, select the whole row 11 with Shift+Space and make the total row bold.",,,
fonts-fills-borders,4,"A total takes a top border, never a grid: with row 11 still selected, add the top border with Alt H B P.","The Borders menu is Alt H B, then a letter: P a top border, O a bottom, A all borders, N none.",,
fonts-fills-borders,5,"On Inputs, the cells a reader may change are B3:B6: select the block and tint it light blue with Alt H H then Enter.","Fill Color is Alt H H, then Enter for the light blue tint or arrows to another swatch; a fill marks a cell, never its value.",,
fonts-fills-borders,6,"Does it tie? Watch Cedar Park’s kWh in C9 change to 3,000 and the Total in C11 answer, in bold above its top border.",,,
alignment-and-titles,0,"The title in A1 belongs over the page: select A1:I1 and center it across the selection with Ctrl+1 then A, never Merge & Center.","Center Across Selection (Ctrl+1, then A) centers a title over the selected columns without merging them; a merged cell breaks selection, fill and sorting.",,
alignment-and-titles,1,A merged title would have stopped you here: go to A1 and press Ctrl+Shift+→ — the selection still sweeps along the row in one press.,,,
alignment-and-titles,2,"Numbers align right, so their headers should too: select kWh sold through Prior week rev, C4:I4, and right-align them with Alt H A R.","The alignment commands are Alt H A then a letter, L left, C center, R right; a header sits over its numbers when it is aligned the way they are.",,
alignment-and-titles,3,"The units line USD unless stated in A2 is a note, not a figure: make it italic with Ctrl+I so it reads as one.",,,
alignment-and-titles,4,"The eight lines under kWh sold by day belong to it: jump to A13, select A14:A21 below it and indent them once with Alt H 6.",,,
alignment-and-titles,5,"On Inputs, the source note per utility contract in C4 runs past its column: wrap it inside the cell with Alt H W.",,,
alignment-and-titles,6,"Does it tie? Watch Cedar Park’s kWh in C9 change to 3,000 and the Total in C11 answer under the centered title.",,,
the-style-pass,0,"On Costs, select the three cost columns B4:D8 and give them thousands separators with no decimals in one action, Ctrl+1 then N.",,,
the-style-pass,1,The Total column needs the same format: select E4:E8 and press F4 once; the whole Format Cells action you just did lands on all five cells.,"F4 outside a formula repeats your last action, a format, a border, a width, an insert, on whatever is selected now: format once, F4 everywhere.",,
the-style-pass,2,"The four headers B3:E3 sit over numbers, so right-align them with Alt H A R; Site in A3 sits over names and stays as it is.",,,
the-style-pass,3,Total ($/wk) is the column a reader looks for first: select E4:E8 again and make it bold with Ctrl+B.,,,
the-style-pass,4,A grid is not structure: select the whole block A3:E8 with Ctrl+A and take every border off with Alt H B N.,,,
the-style-pass,5,"Does it tie? Watch Domain’s lease in B4 change to 2,500 and its Total in E4 answer, bold and with its thousands separator.",,,
challenge-to-standard-in-three-minutes,0,"The figures C5:F10 are General with stray decimals: give them comma style, no decimals, and the Gross profit loss reads in parentheses.",,,
challenge-to-standard-in-three-minutes,1,"Margin % in G5:G10 is a fraction: show it as a percentage to one decimal, Total included.",,,
challenge-to-standard-in-three-minutes,2,"A grid of borders sits over the whole block A4:G10: remove every border from it, because a grid is not structure.",,,
challenge-to-standard-in-three-minutes,3,The Total row A10:G10 is a total: make it bold and give it a single top border.,,,
challenge-to-standard-in-three-minutes,4,"Only the typed figures in C5:E9 are inputs: color them blue, and leave the formulas beside them in automatic black.",,,
challenge-to-standard-in-three-minutes,5,"The title in A1 belongs over the page: center it across A1:G1 with Center Across Selection, never a merge.",,,
point-dont-type,0,"Domain’s gross profit is revenue less energy cost: build =D5-E5 in F5 by pointing at the two cells with the arrow keys, not typing them.","A formula starts with = and recalculates when its inputs change; while it is open, each arrow key points at a cell and writes its reference for you.",,
point-dont-type,1,"Domain’s average price is revenue divided by kWh: build =D5/C5 in G5 by pointing, jumping the pointer across the row with Ctrl+Left.",,,
point-dont-type,2,"Domain’s margin is gross profit divided by revenue: build =F5/D5 in H5 the same way, with a Ctrl+Left jump to reach D5.",,,
point-dont-type,3,"Read one back before you trust it: open F5 with F2 so its inputs D5 and E5 light up in color, then leave it unchanged.",,,
point-dont-type,4,Five sites still have no calculated lines: select F5:H10 with Domain’s three formulas at the top and fill them down with Ctrl+D.,,,
point-dont-type,5,"The fill carried Domain’s $ sign down the gross-profit column: put F6:F10, and only those, back in comma style with no decimals.",,,
point-dont-type,6,"Does it tie? Watch Domain’s kWh in C5 change to 3,000 and its average price in G5 answer.",,,
sum-family-and-autosum,0,"Select the six sites’ figures C5:F10 and press Alt+= once: every column’s SUM lands in the total row, Gross profit’s F11 included.","AutoSum, Alt+=, on one empty cell proposes a SUM over the numbers above; over a whole block it writes every column’s SUM into the row below in one press.",,
sum-family-and-autosum,1,"The total row needs its average price: G11 is total revenue over total kWh, D11 divided by C11, pointed the way the site rows were.",,,
sum-family-and-autosum,2,"The total row needs its margin: H11 is total gross profit over total revenue, F11 divided by D11, pointed the same way.",,,
sum-family-and-autosum,3,"Start a Week summary block under the report: Week summary in A26, bold, then the five line labels A27:A31 as one Enter run.",,,
sum-family-and-autosum,4,"Type the first three lines: B27 =AVERAGE(C5:C10) for the average site, B28 =MAX(C5:C10) for the best, B29 =MIN(C5:C10) for the lowest.","SUM, AVERAGE, MAX, MIN and COUNT each take one range, =AVERAGE(C5:C10), and a blank inside the range is left out, not counted as zero.",,
sum-family-and-autosum,5,"The three kWh lines B27:B29 read as figures: thousands separators and no decimals, the same comma format the report above uses.",,,
sum-family-and-autosum,6,"Count the figures and the names: B30 =COUNT(C5:C10) counts the kWh figures, B31 =COUNTA(A5:A10) counts the site names.","COUNT counts the numbers in a range and COUNTA counts every non-empty cell, text included, so COUNT checks the figures and COUNTA checks the names.",,
sum-family-and-autosum,7,"Does it tie? Watch Riverside’s kWh in C7 clear: the average in B27 and the count in B30 answer, and Sites listed in B31 does not.",,,
anchors-dollar-and-f4,0,"Head the scenario grid: Energy cost at price ($/wk) in J3, bold, then the three prices 0.12, 0.13 and 0.14 across J4:L4 as one Tab run.",,,
anchors-dollar-and-f4,1,"The prices are inputs, not headers: select J4:L4, switch off the bold row 4 gave them, color them blue, show them as currency, 2 decimals.",,,
anchors-dollar-and-f4,2,"Domain’s cost at $0.12 is kWh times price: in J5 point at C5, F4 until it reads $C5, type *, point at J4, F4 until J$4.","F4 inside an open formula cycles the anchors on the reference at the caret, C5, $C$5, C$5, $C5: a $ pins the column or row it sits before.",,
anchors-dollar-and-f4,3,"Give J5 thousands separators, no decimals, then fill it right across J5:L5 with Ctrl+R: $C5 stays on the kWh column, the price moves.",,,
anchors-dollar-and-f4,4,Now the five sites below: extend the selection to J5:L10 and fill down with Ctrl+D; J$4 stays on the price row while the kWh moves.,,,
anchors-dollar-and-f4,5,"Read one from the middle of the grid before you trust it: open K7 with F2, see $C7 and K$4 lit in color, then Esc.",,,
anchors-dollar-and-f4,6,"The old sensitivity stub under the daily block, a half-built what-if table, is covered by the grid now: select A23:F24 and clear it.",,,
anchors-dollar-and-f4,7,"Does it tie? Watch the middle price in K4 change to $0.20 and every site’s cost under it, down to Airport’s K10, answer at once.",,,
link-across-sheets,0,"Domain’s kWh sold in C5 is a typed copy: replace it with a live link to Raw’s site total I8, pointing across sheets.","A reference on another sheet names the sheet first, =Raw!I8: Ctrl+PgDn while the formula is open shows that sheet, and the arrows point there.",,
